fips,poverty_count,median_income
13181,1393,50688
13183,2746,64747
13185,23253,55887
13187,4893,72388
13189,4052,54058
13191,2475,50348
13193,2537,37177
13195,5772,58784
13197,1247,50484
13199,4052,56458
13201,1377,58407
13205,5042,51908
13207,3162,82863
13209,1279,51188
13211,1522,85692
13213,5198,67880
13215,37491,56622
13217,13984,73732
13219,2586,115925
13221,1676,69784
13223,10525,94557
13225,4730,68365
13227,4502,75293
13229,2605,56691
13231,1830,84184
13233,8302,55308
13235,1577,47688
13237,4121,64163
13239,324,36838
13241,2497,61466
13243,1628,25425
13245,41459,53197
13247,10026,72349
13249,601,59647
13251,2472,53017
13253,1700,49559
13255,12519,60217
13257,3587,52264
13259,1018,35000
13261,6209,41877
13263,1232,45098
13265,370,48036
13267,4463,52351
13269,2242,41743
13271,3026,44948
13273,2838,43812
13275,8069,60140
13277,8266,53165
13279,5252,54130
13281,1529,58400
13283,1511,43750
13285,12589,54905
13287,1869,39565
13289,1160,55439
13291,2598,65697
13293,5749,50904
13295,9223,55887
13297,12060,82381
13299,7690,44833
13301,1112,46776
13303,2807,44009
13305,5874,49562
13307,620,40764
13309,1406,45262
13311,3261,69747
13313,13995,64262
13315,1620,48036
13317,1603,52542
13319,1761,46673
13321,4096,57201
15001,29257,77215
15003,88808,104264
15005,13,86250
15007,6414,93612
15009,15969,95076
16001,42195,88907
16003,686,59286
16005,10398,64080
16007,660,67304
16009,1466,56553
16011,5300,76842
16013,1821,84470
16015,658,77349
16017,5231,65168
16019,11922,76646
16021,2154,62438
16023,561,43281
16025,77,55536
16027,24145,72355
16029,513,66653
16031,2546,67042
16033,98,52083
16035,1019,57961
16037,503,56957
16039,3435,58976
16041,1218,65991
16043,1282,72767
16045,2013,66245
16047,2391,62395
16049,1791,60975
16051,2967,82952
16053,3421,69338
16055,16237,77034
16057,5439,65179
16059,947,52057
16061,629,49643
16063,487,66038
16065,11836,58259
16067,3250,70060
16069,5382,71466
16071,549,72563
16073,1620,59773
16075,2332,65723
16077,646,59760
16079,2015,49975
16081,1136,90740
16083,9742,65338
16085,1702,76125
16087,1640,53608
17001,7788,64962
17003,1034,43523
17005,1846,61603
17007,5538,81638
17009,399,72288
17011,4094,65894
17013,251,92095
17015,1950,60871
17017,1387,64907
17019,34513,63091
17021,3562,59253
17023,1425,70625
17025,2160,57266
17027,2613,82314
17029,7950,56040
17031,680528,81797
17033,1963,67614
17035,1013,69826
17037,15291,69022
17039,1535,64802
17041,1718,74186
17043,58877,110502
17045,1927,56909
17047,1030,59386
17049,3622,75380
17051,3324,57113
17053,1628,60782
17055,6227,53471
17057,3942,58617
17059,750,54626
17061,1642,60976
17063,3307,93060
17065,989,61520
17067,2182,65044
17069,373,57155
17071,714,65651
17073,3877,69912
17075,3495,62439
17077,10753,45572
17079,795,71094
17081,4975,61102
17083,2028,79104
17085,1746,74954
17087,1903,65203
17089,42101,100678
17091,12883,68325
17093,6533,110474
17095,7220,53291
17097,55934,108917
17099,14227,72281
17101,1974,53438
17103,3676,68459
17105,3380,70796
17107,3346,64188
17109,4885,50434
17111,18764,102836
17113,21011,78329
17115,14562,62449
17117,6259,68518
17119,29306,74800
17121,5841,60839
17123,1334,69818
17125,1778,62127
17127,2032,62584
17129,1174,81334
17131,1217,71710
17133,1583,101635
17135,3546,61863
17137,3808,65175
17139,1393,71676
17141,4541,79244
17143,26991,64938
17145,3098,59286
17147,987,87516
17149,2163,58029
17151,516,62500
17153,1286,43227
17155,555,77526
17157,3343,68870
17159,1823,60404
17161,21244,66768
17163,33836,70178
17165,3907,54945
17167,24702,74114
17169,1293,66059
17171,507,73013
17173,2053,68457
17175,624,62284
17177,5683,61943
17179,11135,76704
17181,3204,56420
17183,12065,54537
17185,1541,53650
17187,1996,64650
17189,1050,75652
17191,2202,53107
17193,2175,53097
17195,6509,64536
17197,47993,107799
17199,9213,65521
17201,44717,64363
17203,2834,85629
18001,4411,63128
18003,46610,68839
18005,9813,80365
18007,1038,61811
18009,2069,47560
18011,3689,104865
18013,1321,72644
18015,1698,64003
18017,4674,56525
18019,11232,72298
18021,2744,67676
18023,2744,63690
18025,2483,48993
18027,3419,68561
18029,4075,82693
18031,2416,74228
18033,4354,70080
18035,20789,56932
18037,4055,71918
18039,25517,65617
18041,3830,56659
18043,7877,78179
18045,2032,62526
18047,1942,79702
18049,2541,62878
18051,3300,67763
18053,11499,54007
18055,4057,59753
18057,15422,117957
18059,3642,91326
18061,2956,72468
18063,8738,99988
18065,5957,60144
18067,10292,62496
18069,3564,62734
18071,5067,70208
18073,2259,79634
18075,2639,54114
18077,3489,59987
18079,3339,68476
18081,11600,87227
18083,4593,58863
18085,7615,73922
18087,2310,83741
18089,72010,68985
18091,14691,70452
18093,4984,65551
18095,16142,62632
18097,144204,63450
18099,4979,68041
18101,1594,65345
18103,5083,61130
18105,25256,63372
18107,4388,66571
18109,6064,79088
18111,1843,68596
18113,3950,70908
18115,529,67942
18117,2575,64758
18119,2504,59586
18121,2623,66776
18123,2285,61099
18125,1466,66250
18127,15723,85828
18129,2444,79124
18131,1442,59956
18133,2616,76182
18135,3594,61121
18137,2733,71084
18139,2135,64393
18141,38013,64885
18143,3467,54583
18145,5091,71301
18147,1294,70890
18149,3426,62933
18151,2912,71483
18153,2498,54985
18155,1083,65148
18157,32500,58622
18159,1741,78309
18161,446,79500
18163,24967,60938
18165,2012,59363
18167,19750,52525
18169,3136,68414
18171,1061,74635
18173,4053,95027
18175,3724,61358
18177,10795,56652
18179,1996,69741
18181,2422,66143
18183,3627,75790
19001,753,66176
19003,339,68828
19005,1657,66000
19007,2468,51146
19009,649,54152
19011,1979,84742
19013,18505,64581
19015,1757,79741
19017,1767,83343
19019,1439,78430
19021,1624,66564
19023,1500,69651
19025,791,66875
19027,1693,68528
19029,2243,61657
19031,1308,79080
19033,3918,65537
19035,1717,64478
19037,827,73421
19039,1304,66821
19041,1848,64082
19043,2294,62326
19045,5962,65177
19047,2635,65039
19049,6038,102349
19051,647,79505
19053,1067,57146
19055,1368,76205
19057,5354,60662
19059,1103,74570
19061,8982,75919
19063,904,65181
19065,2333,58764
19067,1742,64500
19069,1481,63648
19071,489,73750
19073,897,59159
19075,786,83617
19077,982,79981
19079,1171,71750
19081,1272,70212
19083,1381,64906
19085,1079,77027
19087,2248,64604
19089,778,67336
19091,1294,66994
19093,701,62841
19095,1502,72185
19097,1977,71605
19099,2942,70128
19101,2141,56824
19103,24608,74721
19105,2038,73071
19107,1175,60856
19109,1383,65656
19111,4151,59803
19113,22106,76421
19115,1042,80223
19117,1415,67921
19119,634,72881
19121,1127,89542
19123,2527,69019
19125,2248,78059
19127,4275,72785
19129,989,87810
19131,713,68704
19133,943,62944
19135,676,72518
19137,1201,63190
19139,4858,69512
19141,1910,68216
19143,981,69138
19145,1887,57752
19147,1002,68963
19149,1712,81600
19151,599,63423
19153,49165,81621
19155,9885,71446
19157,1886,64837
19159,403,69821
19161,757,70991
19163,19837,76363
19165,984,67690
19167,2172,84736
19169,16046,69006
19171,2544,67955
19173,600,67279
19175,1480,56813
19177,874,60183
19179,5743,60034
19181,2767,92990
19183,1876,71339
19185,961,59118
19187,3994,68054
19189,988,63719
19191,1426,75652
19193,13739,70147
19195,532,76875
19197,1867,64033
20001,1578,57618
20003,840,64925
20005,1871,62164
20007,716,57615
20009,3640,56733
20011,1649,67555
20013,1303,58886
20015,5845,80375
